name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Via Amsterdam,3,166,33.2,8.1,17049,6600.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Hotel City Garden Amsterdam,3,185,37.0,7.1,3712,1900.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Heart of Amsterdam Hotel,0,206,41.2,7.4,2817,300.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Budget Hotel Tourist Inn,2,202,40.4,7.6,4352,350.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
MEININGER Hotel Amsterdam City West,0,134,26.8,8.1,6453,4300.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
MEININGER Hotel Amsterdam Amstel,0,166,33.2,8.1,4496,3500.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Hans Brinker Hostel Amsterdam,0,168,33.6,7.8,10202,1100.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Travel Hotel Amsterdam,2,160,32.0,6.5,2010,350.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Aston City Hotel,2,154,30.8,4.9,926,1700.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Generator Amsterdam,3,196,39.2,7.8,5158,2200.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Apple Inn Hotel,3,221,44.2,7.7,1713,2800.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Stayokay Hostel Amsterdam Vondelpark,0,268,53.6,8.4,6028,1700.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Hotel Continental Amsterdam,1,182,36.4,5.4,2308,400.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
St Christophers Inn at The Winston,0,238,47.6,7.9,2362,250.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
Stayokay Hostel Amsterdam Oost,0,247,49.4,8.1,3864,3000.0,True,False,Amsterdam,2024-12-24 20:51:56.153208,5,0
